UMAP 0,UMAP 1,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
21.5711,-10.643117,Reticulocyte,MALAT1,HBB,HBA2,HBA1,TPT1,HBD,TMSB10,JUN
-16.475506,-6.3292513,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,IGHD,HLA-DRB1,TCL1A,HLA-DQA1
17.038727,3.1017685,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,JUN,VCAN,FCN1,PSAP
-16.752794,-10.811882,Naive CD20+ B IGKC+,IGKC,IGHM,IGLC2,CD69,CD74,HLA-DRA,IGHD,CD79B
-13.284844,-8.532361,Naive CD20+ B IGKC-,IGLC2,IGHM,CD79B,IGLC3,CD79A,TCL1A,CD74,HLA-DRA
7.0497637,-21.544533,Normoblast,HBD,HBM,CA1,HBB,AHSP,HBA1,HBA2,SLC25A37
-17.292152,-12.325677,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,HLA-DRB1,HLA-DPB1,HLA-DPA1,CD79A
-10.929552,-11.968241,Transitional B,IGHM,IGKC,CD79B,TCL1A,RGS2,HLA-DRA,IGLC1,CD74
17.89708,-18.75062,Reticulocyte,HBD,HBM,MALAT1,HBB,HBA2,HBA1,CA1,AHSP
19.124218,-15.39774,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBM,HBA1,AHSP,BLVRB
14.193903,1.3031977,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,VCAN,FCN1,CTSS,AIF1
16.792904,1.8790529,CD14+ Mono,S100A9,S100A8,LYZ,VCAN,CTSS,FCN1,JUNB,JUN
-18.384827,-11.581406,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD69,CD74,CD79A,CD37,CD79B
-6.6067305,7.366129,CD4+ T naive,HBA2,FOS,TRAC,NEAT1,ZFP36L1,DUSP2,DDIT4,TRBC2
20.434265,-13.028927,Reticulocyte,MALAT1,HBB,HBA2,HBD,HBA1,AHSP,TPT1,CA1
13.648586,4.4105253,CD14+ Mono,NEAT1,SAT1,LYZ,FOS,S100A9,FOSB,HLA-DRA,AHNAK
-3.4420006,-1.3444257,CD8+ T naive,JUN,CD8B,FOSB,CD69,CD8,LINC02446,DUSP2,MALAT1
-15.427381,-6.26248,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,CD79A,HLA-DRA,CD79B,MS4A1,NEAT1
14.082426,2.4329805,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,NEAT1,FCN1,TYROBP,VCAN
-6.801154,8.240841,CD4+ T naive,TRBC1,DDIT4,PCED1B-AS1,HIST1H4C,FHIT,TPT1,JUN,CD247
-16.632713,-12.124556,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,CD79B,CD79A,HLA-DRB1,CD37
12.989674,4.475237,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,CST3,TYROBP,CTSS,SAT1
14.09025,3.2504206,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,CTSS,FCN1,PSAP,TYROBP
0.9573529,-20.816282,Erythroblast,HBM,CA1,HBD,AHSP,HBB,PRDX2,HIST1H4C,HBA1
-7.050009,5.3451157,CD4+ T naive,FOS,ID2,JUNB,CD69,CCR7,ARL4C,IRF1,CRIP1
0.59113216,-1.138428,CD8+ T naive,FOS,CD8B,TRAC,AIF1,LIME1,CRIP1,IL7R,CD69
-3.1179633,13.884378,CD4+ T activated,CRIP1,IL7R,S100A11,SYNE2,KLF6,HBA1,FOS,ITGB1
5.0705504,-21.200817,Normoblast,HBD,HBM,CA1,HBB,AHSP,HBA1,HBA2,SLC4A1
-1.1226139,-21.249102,Erythroblast,HBM,CA1,HBD,AHSP,HBB,HIST1H4C,PRDX2,HBA2
5.48742,19.718925,NK,GNLY,CCL4,NKG7,GZMB,GZMA,CST7,KLRD1,CCL3
9.154746,-18.042542,Normoblast,HBD,SLC25A37,HBB,HBA1,HBM,AHSP,SLC4A1,HBA2
8.344869,12.986048,CD8+ T CD57+ CD45RA+,NKG7,GNLY,CCL5,GZMB,GZMA,FOS,JUN,CCL4
5.5576077,17.11876,NK,CCL4,GNLY,CCL5,NKG7,PRF1,GZMB,GZMA,CLIC3
-15.543329,-8.75972,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,CD79B,HLA-DPB1,CD37
17.380846,1.6354963,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,S100A12,VCAN,JUN,AC020656.1
-15.291105,-6.075633,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,CD79B,CD37,TCL1A,CD79A
2.4959111,-20.19907,Erythroblast,HBD,HBM,CA1,AHSP,HBB,HBA2,HBA1,PRDX2
-16.124428,-6.9299088,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,IGKC,CD69,CD74,CD79A,MS4A1
17.13996,-14.186558,Reticulocyte,HBD,MALAT1,HBB,HBA2,HBA1,AHSP,TPT1,HBM
19.001556,-17.833092,Reticulocyte,HBD,MALAT1,HBM,HBB,HBA2,HBA1,AHSP,BLVRB
13.580956,1.6431315,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,CTSS,FCN1,LGALS1
13.661687,5.022087,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,CTSS,TYROBP,CST3,SAT1
-5.3278704,5.758914,CD4+ T naive,IGKC,CD69,TNFAIP3,NEAT1,FOS,AIF1,CD74,HLA-DRA
18.996994,-18.777172,Reticulocyte,MALAT1,HBD,HBM,HBB,HBA2,CA1,AHSP,HBA1
8.190443,-20.098644,Normoblast,HBM,HBD,CA1,HBB,AHSP,SLC25A37,HBA1,HBA2
16.365473,-16.389763,Reticulocyte,HBD,MALAT1,HBB,HBA2,HBA1,AHSP,BLVRB,HBM
0.269782,10.320701,CD4+ T activated,IRF1,JUN,HBD,TRAC,HBA2,S100A11,DOK2,CRIP1
13.386831,4.7145214,CD14+ Mono,NEAT1,S100A9,S100A8,LYZ,SAT1,CTSS,ZFP36L1,PSAP
-16.169268,-5.3946447,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,CD79A,MS4A1,CD37,IGHD
-7.356844,7.4008474,CD4+ T naive,JUNB,TRBC1,DUSP2,JUN,TRBC2,TNFAIP3,IL7R,DDIT4
-16.94872,-11.4562435,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,IGHD,HLA-DRB1,HLA-DPB1,CD69
-2.043468,-0.97037643,CD8+ T naive,FOS,TNFAIP3,CD8B,HBA1,TRBC1,JUN,CD8,DDIT4
19.687677,-15.585206,Reticulocyte,MALAT1,HBD,HBB,HBA2,HBA1,HBM,AHSP,BLVRB
20.846724,-16.47409,Reticulocyte,MALAT1,HBD,HBM,HBB,HBA2,HBA1,AHSP,CA1
15.940935,-18.28733,Reticulocyte,HBD,MALAT1,HBB,AHSP,HBA2,HBA1,HBM,BLVRB
-1.9506642,13.902313,CD4+ T activated,KLRB1,CRIP1,IL7R,S100A11,ANXA1,FOS,ZFP36L1,HBD
3.2295413,-20.145447,Erythroblast,HBM,CA1,AHSP,HBD,HBB,HBA2,HBA1,TMSB10
-7.3731823,5.513788,CD4+ T naive,JUNB,ARL4C,GPR183,MALAT1,IL7R,SAT1,HBD,CD69
-3.3555772,-2.9915233,CD8+ T naive,CD8B,IL7R,TRBC2,CD8,FOS,LINC02446,ARL4C,JUN
3.206749,-19.735779,Erythroblast,HBM,HBD,CA1,AHSP,HBB,HBA1,HBA2,HEMGN
13.274778,3.9610026,CD14+ Mono,NEAT1,LYZ,SAT1,S100A8,S100A9,CST3,VCAN,AHNAK
14.350082,2.8292997,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,CTSS,SAT1,S100A12,FCN1
-1.0809023,13.19247,CD4+ T activated,CRIP1,ANXA1,ITGB1,JUN,FOS,IL7R,NEAT1,S100A11
5.7393856,-22.169851,Normoblast,HBD,HBM,AHSP,HBB,CA1,HBA1,HBA2,PRDX2
0.24719591,-21.146528,Erythroblast,HBM,CA1,HBD,AHSP,HBB,HBA1,HIST1H4C,HBA2
-18.04273,-10.703455,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,IGHD,CD79A,CD79B,DUSP2
9.333059,-18.91214,Normoblast,HBM,HBD,HBB,AHSP,SLC25A37,HBA1,HBA2,SLC4A1
9.141912,-18.173069,Normoblast,HBD,SLC25A37,HBB,AHSP,HBA1,TPT1,HBA2,SLC4A1
-2.8868513,8.245032,CD4+ T naive,JUNB,CRIP1,JUN,CITED2,ARL4C,ID2,FOS,PCED1B-AS1
-2.0478497,-1.4307871,CD8+ T naive,CD8B,CD8,TRBC2,JUNB,CD8A,MALAT1,JUN,TNFAIP3
-1.1001909,0.0065986086,CD8+ T naive,TRBC1,HBA1,FOS,TRBC2,JUNB,CD8B,CD37,MALAT1
-4.9804893,6.311049,CD4+ T naive,FOS,JUNB,TRAC,JUN,AL499604.1,HBA1,CD7,MALAT1
-16.529556,-12.702252,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD79A,CD79B,CD37,CD74,TCL1A
0.03752531,-21.422596,Erythroblast,HBM,HBD,AHSP,HBB,CA1,HIST1H4C,PRDX2,HBA1
-15.962877,-6.636285,Naive CD20+ B IGKC-,IGHM,CD74,IGLC2,IGLC3,HLA-DRA,HLA-DQA1,HLA-DPB1,CD37
-4.2561765,9.911674,CD4+ T activated,TRBC1,JUNB,JUN,CRIP1,PCED1B-AS1,NEAT1,FOSB,CD69
14.084579,5.4047856,CD14+ Mono,NEAT1,S100A9,FOS,CTSS,S100A8,SAT1,LYZ,CST3
-17.425892,-11.575157,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,JUN,CD79A,HLA-DRB1,HLA-DPA1
-9.47204,8.655482,CD4+ T naive,FOS,JUNB,DUSP2,AL499604.1,FOSB,EGR1,CD69,JUN
13.702328,0.10482168,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,CTSS,FCN1,PSAP,FOS
14.111586,-0.35609916,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,MNDA,CRIP1,CTSS,RETN
-9.810124,8.353867,CD4+ T naive,FOS,EGR1,JUNB,DUSP2,MALAT1,CD69,CD8,HBA2
-2.9146037,8.091644,CD4+ T naive,TRBC1,JUNB,TPT1,IL7R,CRIP1,HIST1H4C,CD7,FOSB
13.578533,-0.91019785,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,S100A12,MNDA,SAT1,CST3
-6.666238,7.137196,CD4+ T naive,JUNB,TRBC1,ARL4C,AL499604.1,HBA2,TRAC,DDIT4,TRBC2
16.009441,-17.825235,Reticulocyte,HBD,HBB,MALAT1,HBM,HBA2,HBA1,AHSP,CA1
-4.7424717,9.475158,CD4+ T activated,FOS,CRIP1,JUNB,CD69,NEAT1,MALAT1,SAT1,TRAC
-15.470299,-7.0114975,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,CD79A,CD79B,MS4A1,HLA-DQA1
-6.406035,9.421566,CD4+ T naive,TRBC1,FOS,HIST1H4C,ARL4C,CITED2,TRAC,MAL,MALAT1
-2.6683204,13.011289,CD4+ T activated,IL7R,ITGB1,ANXA1,CRIP1,S100A11,SAT1,CD69,TRAC
-9.56632,7.4166794,CD4+ T naive,FOS,JUN,ARL4C,EGR1,AL499604.1,CD8,DUSP2,NFKBIZ
-17.433247,-10.373297,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,JUN,HLA-DRA,CD79B,CD79A,HLA-DRB1
13.655958,2.0100598,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,VCAN,CTSS,SAT1,AIF1
19.322918,-16.267944,Reticulocyte,HBM,HBD,MALAT1,HBB,HBA2,HBA1,FOS,AHSP
13.419247,0.39920932,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,LGALS1,HMGB2,FOS
17.189724,-16.84608,Reticulocyte,HBD,HBM,MALAT1,HBB,HBA2,HBA1,AHSP,TPT1
17.643974,1.164304,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,CTSS,JUN,VCAN,AIF1
-2.9537818,11.013864,CD4+ T activated,KLRB1,CRIP1,ITGB1,MAF,MALAT1,S100A11,NEAT1,AHNAK
-15.436676,-8.073173,Naive CD20+ B IGKC-,CD74,HLA-DRA,IGHM,CD69,CD79A,HLA-DRB1,MS4A1,IGLC2
-8.716347,9.477415,CD4+ T naive,TRBC1,JUNB,DUSP2,FOS,ARL4C,TRAT1,FOSB,KLRB1
17.114002,3.6670883,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,CST3,FCN1,AIF1,SAT1
16.853525,4.7205787,CD14+ Mono,NEAT1,CTSS,S100A9,LYZ,S100A8,PSAP,CST3,FCN1
0.49528122,-20.989468,Erythroblast,HBM,HBD,AHSP,HBB,HBA1,PRDX2,HBA2,TMSB10
-0.7678794,-20.873062,Erythroblast,HBM,HBB,HBD,AHSP,CA1,HBA1,HBA2,HIST1H4C
14.1698265,4.323059,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,TYROBP,CTSS,FCN1,AIF1
-1.7129005,0.4193573,CD8+ T naive,TRBC1,CD8B,FOSB,FOS,DUSP2,TRBC2,CD8,HBM
14.023838,3.2313933,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,CTSS,CST3,TYROBP,VCAN
-15.761694,-12.328161,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,IGLC2,IGHD,TCL1A,CD79A
-4.911564,11.469229,CD4+ T activated,MALAT1,JUNB,ITGB1,TRAC,CD69,TNFAIP3,HSPA5,HSP90B1
9.22229,-18.789951,Normoblast,HBD,AHSP,HBB,SLC25A37,HBM,HBA1,HBA2,TPT1
15.770758,0.97641796,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,FCN1,CTSS,VCAN,LGALS1
-3.4167132,11.807769,CD8+ T naive,CRIP1,FOS,CD8,CD69,S100A11,ANXA1,ITGB1,TRAC
-8.018864,8.808132,CD4+ T naive,JUNB,JUN,HBA2,FOSB,CD69,DUSP2,TPT1,GPR183
14.618662,1.9410274,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,VCAN,S100A12,FOS,TYROBP
-6.422781,8.079454,CD4+ T naive,JUNB,KLF6,CD69,MALAT1,CRIP1,JUN,AL499604.1,TMSB10
-18.807133,-10.583204,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD69,HLA-DQA1,CD79A,HLA-DRB1
-8.854025,8.775742,CD4+ T naive,FOS,CRIP1,DUSP2,IL7R,KLF6,CD69,EGR1,AL499604.1
-15.561474,-6.5301166,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,IGLC3,CD79A,IGLC1,CD37
14.340389,-0.896826,CD14+ Mono,S100A9,S100A8,LYZ,S100A12,LGALS1,MNDA,AC020656.1,FCN1
-3.0418804,-2.6816063,CD8+ T naive,FOS,FOSB,DUSP2,ID2,TNFAIP3,CD8B,NR4A2,CD8
-7.1273174,8.179213,CD4+ T naive,TRBC1,FOS,ARL4C,NEAT1,KLF6,TPT1,HIST1H4C,IL7R
16.105236,1.6699668,CD14+ Mono,S100A9,S100A8,LYZ,VCAN,S100A12,CTSS,SAT1,FCN1
14.881245,3.7363172,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,NEAT1,PSAP,FCN1,CST3
-16.640572,-11.673016,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,IGHD,TCL1A,CD79B,HLA-DRB1
-14.648466,-11.060183,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,CD79A,TCL1A,MS4A1,CD79B
-8.232628,7.5424795,CD4+ T naive,DUSP2,FOS,CRIP1,ARL4C,PCED1B-AS1,FOSB,HBD,EGR1
1.7609296,-21.33944,Erythroblast,HBM,HBD,AHSP,CA1,HBB,HIST1H4C,HBA1,HBA2
13.989477,-20.228071,Reticulocyte,HBD,HBM,MALAT1,CA1,HBB,AHSP,HBA1,HBA2
5.4594536,16.112011,NK,NKG7,GNLY,CCL5,ZFP36,AHNAK,SYNE1,TPT1,SAT1
-3.714713,1.1005696,CD8+ T naive,SAT1,CD8B,FOS,MALAT1,CD8,CD8A,NEAT1,H1FX
-16.2097,-6.688632,Naive CD20+ B IGKC-,IGHM,CD74,HLA-DRA,IGLC2,CD69,IGHD,CD79B,FOS
18.603363,-19.039194,Reticulocyte,MALAT1,HBD,HBM,HBB,HBA2,AHSP,HBA1,BLVRB
18.52156,-16.166573,Reticulocyte,HBD,MALAT1,HBM,HBB,HBA2,HBA1,AHSP,FOS
-14.162316,-7.7245135,Naive CD20+ B IGKC-,IGLC2,IGHM,IGLC1,CD79B,HLA-DRA,CD74,TCL1A,CD79A
-8.745128,9.75213,CD4+ T activated,SAT1,TRAC,FOS,CRIP1,TRBC2,DUSP2,CD69,JUNB
-18.142742,-10.8518915,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,CD79B,IGHD,CD37,NEAT1
-1.4316397,-21.591705,Erythroblast,HBM,HBD,CA1,HBB,AHSP,HIST1H4C,PRDX2,HBA2
19.009502,-15.563764,Reticulocyte,HBD,MALAT1,HBB,HBA2,HBA1,HBM,AHSP,FOS
13.2695,3.4473298,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FOS,TYROBP,CTSS,FCN1
13.950602,0.9226753,CD14+ Mono,LYZ,S100A9,S100A8,LGALS1,AC020656.1,TNFAIP3,FOS,RETN
-15.369454,-7.8040433,Naive CD20+ B IGKC-,IGLC2,IGHM,IGLC3,HLA-DRA,CD74,CD79A,CD79B,HLA-DQA1
-6.650139,10.367861,CD4+ T activated,ANXA1,FOS,ITGB1,JUN,IL7R,JUNB,AL499604.1,HBD
16.138971,0.5548545,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,S100A12,CTSS,VCAN,NEAT1
14.295682,2.6741996,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,NEAT1,VCAN,TYROBP,AIF1
6.064435,-21.413261,Normoblast,HBD,HBM,CA1,HBB,HBA1,AHSP,SLC25A37,HBA2
13.739075,3.9640083,CD14+ Mono,NEAT1,SAT1,LYZ,S100A9,CTSS,S100A8,AHNAK,FOS
16.951012,0.02209787,CD14+ Mono,S100A8,S100A9,LYZ,FCN1,S100A12,CST3,VCAN,MNDA
13.4400625,1.5145214,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,S100A12,CTSS,AIF1,MNDA
-7.9552402,5.785129,CD4+ T naive,FOS,JUNB,DUSP2,GPR183,TNFAIP3,AL499604.1,CITED2,IRF1
-16.320793,-12.261412,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,CD69,HLA-DRB1,HLA-DPB1
-0.2716136,7.545847,CD4+ T naive,TRBC1,TPT1,JUN,HBA2,HBB,SAT1,HBA1,HBD
-7.1780567,8.518486,CD4+ T naive,TRBC1,JUNB,MALAT1,DUSP2,NOSIP,GIMAP7,PCED1B-AS1,TSHZ2
-0.52631444,0.03813532,CD8+ T naive,CD8B,CD8,LINC02446,CD69,MALAT1,CRIP1,SAT1,HBA2
-1.8713262,7.9698462,CD4+ T naive,TRBC1,CRIP1,FOS,ANXA1,HBA2,PCED1B-AS1,IL7R,BCL2
-6.1702285,9.333016,CD4+ T naive,FOS,TRBC1,AL499604.1,CRIP1,MALAT1,JUN,CD69,HSP90B1
5.463962,18.847126,NK,GNLY,NKG7,GZMB,CCL5,CST7,PRF1,CCL4,NEAT1
-2.3616264,11.674343,CD4+ T activated,ANXA1,CRIP1,ITGB1,AHNAK,HBA2,S100A11,IL7R,MACF1
-0.9439557,-21.544334,Erythroblast,HBM,CA1,AHSP,HBB,HBD,PRDX2,HIST1H4C,HBA2
14.667346,4.255617,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,CTSS,VCAN,TYROBP,FOS
11.337294,-19.122698,Normoblast,HBD,HBM,HBB,SLC25A37,AHSP,HBA1,HBA2,BLVRB
16.35548,-0.28234053,CD14+ Mono,S100A8,S100A9,LYZ,FCN1,AC020656.1,S100A12,LGALS1,PSAP
-16.891848,-12.454475,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD69,CD79A,TCL1A,VPREB3
13.265357,4.023596,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,CTSS,ZFP36L1,CST3,VCAN
-18.471703,-10.3204775,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,CD37,CD79B,IGHM,HLA-DPB1,HLA-DRB1
16.506044,-18.852219,Reticulocyte,HBD,MALAT1,HBB,HBA2,HBA1,AHSP,CA1,HBM
12.833706,3.901664,CD14+ Mono,NEAT1,S100A8,S100A9,AC020916.1,LYZ,SAT1,CTSS,ZFP36L1
14.238181,0.14628029,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,AC020656.1,NEAT1,CST3,FCN1
-6.873949,9.804506,CD4+ T naive,TRBC1,HIST1H4C,JUNB,TRBC2,FOS,DUSP2,JUN,HBA2
-3.886663,13.524813,CD4+ T activated,ANXA1,CRIP1,IL7R,S100A11,JUN,CD2,FOS,ITGB1
13.772142,5.2252493,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,SAT1,CST3,CTSS,TYROBP
17.324757,0.23706813,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,FCN1,CTSS,VCAN,AIF1
-0.7835543,14.523459,CD4+ T activated,ANXA1,CRIP1,ITGB1,S100A11,HBD,FOS,GPR183,DNAJB1
16.709482,-18.207096,Reticulocyte,HBD,MALAT1,HBM,HBB,HBA2,AHSP,HBA1,BLVRB
-15.7967415,-12.6564865,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,CD79B,HLA-DRB1,HLA-DPB1
16.97728,-17.97926,Reticulocyte,HBD,MALAT1,HBM,HBB,HBA2,HBA1,AHSP,FOS
-6.413741,9.703667,CD4+ T naive,TRBC1,CRIP1,JUN,GIMAP7,HBA2,SAT1,IL7R,CD69
14.605147,1.165983,CD14+ Mono,S100A8,S100A9,LYZ,S100A12,FCN1,CTSS,CST3,RGS2
-4.545446,-1.3757637,CD8+ T naive,CD8,JUNB,DUSP2,LINC02446,CD8A,PCED1B-AS1,DDIT4,ID2
-0.7884576,13.331955,CD4+ T activated,CCL5,ANXA1,S100A11,GZMA,CD2,ITGB1,CRIP1,ARL4C
-16.811699,-11.3165,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,HLA-DPB1,NEAT1,CD79A,CD79B
-16.771358,-7.076281,Naive CD20+ B IGKC-,IGHM,CD74,CD69,HLA-DRA,CD37,CD79B,HLA-DQA1,BANK1
14.121041,-0.9914923,CD14+ Mono,S100A9,S100A8,LYZ,LGALS1,AC020656.1,CST3,RETN,SAT1
-17.682243,-12.093227,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,CD79A,JUNB,HLA-DRB1,HLA-DPB1
17.175896,-17.530094,Reticulocyte,HBD,MALAT1,HBM,HBB,HBA2,AHSP,HBA1,CA1
12.373007,2.0758386,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,S100A12,VCAN,AC020916.1,SAT1
16.417873,-16.755577,Reticulocyte,HBD,MALAT1,HBB,AHSP,HBA2,HBA1,TPT1,FOS
16.841022,-15.603077,Reticulocyte,HBD,MALAT1,HBB,HBA2,HBA1,AHSP,BLVRB,TPT1
16.203873,-18.97703,Reticulocyte,HBD,MALAT1,HBB,HBM,AHSP,HBA2,HBA1,CA1
-13.320829,-11.883263,Naive CD20+ B IGKC+,IGKC,IGHM,TCL1A,CD79B,HLA-DRA,CD74,VPREB3,CD79A
-1.2109342,0.2675793,CD8+ T naive,JUNB,HBA1,TRBC1,DUSP2,SAT1,FOS,TRAC,CD8
4.705395,18.565872,NK,GNLY,NKG7,ZFP36,GZMB,CCL4,KLRD1,AHNAK,CCL5
-6.597345,2.2217083,CD8+ T naive,JUNB,CD69,ARL4C,JUN,HBA2,CD8,AL499604.1,DUSP2
-6.541399,9.353117,CD4+ T activated,JUNB,TRBC1,FOS,IGLC2,CD69,AL499604.1,CITED2,CD8
-17.388128,-12.53706,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,IGHD,HLA-DRB1,CD79B,HLA-DPA1
-18.53975,-10.883805,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,DUSP2,CD74,CD69,IGHD,FOSB
-13.920372,-5.903524,Naive CD20+ B IGKC-,IGLC2,CD74,IGHM,HLA-DRA,CD79A,CD37,MS4A1,IGLC3
13.45093,3.6058247,CD14+ Mono,S100A9,S100A8,NEAT1,LYZ,FOS,SAT1,CRIP1,CTSS
