UMAP 1,UMAP 2,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
-13.226278,-2.7457378,CD4+ T naive,MALAT1,TRBC2,JUNB,NEAT1,ARL4C,TPT1,PRKCQ-AS1,SAT1
8.165041,19.044783,Reticulocyte,MALAT1,HBB,HBA2,TPT1,HBA1,TMSB10,JUNB,HBD
7.0780134,-12.144297,Naive CD20+ B IGKC-,IGHM,IGLC2,IGLC3,HLA-DRA,CD74,HLA-DRB1,IGHD,HLA-DPB1
14.452877,4.300334,CD14+ Mono,S100A9,CTSS,LYZ,S100A8,VCAN,FCN1,PSAP,FGL2
7.201587,-14.6428995,Naive CD20+ B IGKC+,IGKC,IGLC2,IGHM,CD74,HLA-DRA,CD79B,IGHD,CD79A
9.435842,-12.035663,Naive CD20+ B IGKC-,IGLC2,IGLC3,IGHM,CD79B,TCL1A,CD79A,CD74,HLA-DRA
-2.6562252,15.422902,Normoblast,HBD,HBM,AHSP,HBB,SLC25A37,CA1,HBA1,TMSB10
6.034856,-16.724638,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,HLA-DRB1,HLA-DPB1,CD79A,JUN
11.281853,-10.29073,Transitional B,IGHM,CD79B,RGS2,TCL1A,IGLC1,IGKC,HLA-DRA,MALAT1
3.0299006,17.752028,Reticulocyte,HBD,HBB,HBM,MALAT1,TPT1,HBA2,HBA1,TMSB10
4.770636,19.048641,Reticulocyte,MALAT1,HBD,TPT1,HBB,HBA1,HBA2,TMSB10,HBM
11.806707,2.9203646,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,FCN1,VCAN,S100A12,RGS2
13.754808,4.219777,CD14+ Mono,S100A9,LYZ,S100A8,CTSS,VCAN,FCN1,NEAT1,JUN
5.6273913,-16.920444,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,CD79B,HLA-DRB1,CD37
-12.182085,-8.239861,CD4+ T naive,TPT1,JUNB,HBA2,H1FX,TRAC,FOS,HBD,JUN
6.6493692,19.248516,Reticulocyte,MALAT1,HBB,HBA2,TPT1,HBA1,HBD,TMSB10,CA1
13.922648,1.6541696,CD14+ Mono,NEAT1,FOSB,LYZ,FOS,CTSS,NAMPT,S100A9,SAT1
-12.219438,-10.383419,CD8+ T naive,CD8B,CD8,LINC02446,CD8A,FOSB,TRBC2,JUN,CD7
7.9618526,-11.071927,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,IGLC3,CD79A,CD79B,HLA-DRB1
12.616842,2.2575457,CD14+ Mono,CTSS,S100A9,JUN,LYZ,S100A8,FCN1,PSAP,TYROBP
-13.750739,-7.0535727,CD4+ T naive,TRBC1,JUNB,GIMAP7,HBD,CD7,HBA2,PCED1B-AS1,TRAT1
6.4708214,-16.308674,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD79A,CD74,CD79B,HLA-DRB1,HLA-DPB1
12.755035,1.468643,CD14+ Mono,NEAT1,S100A9,CTSS,LYZ,NAMPT,SAT1,FOSB,AC020916.1
13.596632,2.4066935,CD14+ Mono,CTSS,S100A9,LYZ,KLF6,NEAT1,S100A8,PSAP,ZEB2
-3.9719102,11.390646,Erythroblast,HBM,HBD,CA1,AHSP,HIST1H4C,HBB,PRDX2,TMSB10
-13.577568,-1.7062029,CD4+ T naive,MALAT1,TPT1,JUNB,ZFP36,SAT1,ARL4C,CCR7,IRF1
-10.490517,-9.665378,CD8+ T naive,CD8B,CD8A,CD8,AIF1,LIME1,TPT1,TRBC2,CD7
-9.154937,-1.305276,CD4+ T activated,HBA1,CD69,MALAT1,ARL4C,CRIP1,HBA2,HBB,TRAC
-2.590731,14.314892,Normoblast,HBD,HBB,AHSP,HBM,SLC25A37,CA1,TMSB10,SLC4A1
-5.272049,11.596134,Erythroblast,HBD,HBM,AHSP,CA1,HIST1H4C,PRDX2,HBB,BLVRB
0.65699935,-1.2881496,NK,CCL4,GNLY,NKG7,GZMB,NEAT1,DUSP2,CCL3,FGFBP2
-3.3695006,17.91962,Normoblast,HBD,SLC25A37,TPT1,SLC4A1,AHSP,HBB,HBA1,TMSB10
-1.3516574,-5.1344266,CD8+ T CD57+ CD45RA+,NKG7,GNLY,CCL5,GZMH,FOS,FGFBP2,GZMB,TYROBP
-0.6409637,-2.3387809,NK,CCL4,CCL5,MALAT1,NKG7,GZMB,GNLY,ID2,ARL4C
6.8314033,-14.06299,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DPB1,CD79A,IGLC2,CD79B
13.888142,5.0940366,CD14+ Mono,S100A9,S100A8,LYZ,JUN,CTSS,JUNB,AIF1,PSAP
7.6929336,-11.762842,Naive CD20+ B IGKC-,IGHM,IGLC2,IGLC3,HLA-DRA,CD74,HLA-DPB1,CD79B,CD37
-2.6063175,11.554522,Erythroblast,HBD,HBM,HBB,AHSP,CA1,TMSB10,HIST1H4C,HBA1
7.0323267,-13.059397,Naive CD20+ B IGKC-,HLA-DRA,IGHM,IGLC2,CD74,HLA-DRB1,IGKC,CD79A,TCL1A
4.8216667,20.233631,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA2,HBA1,TMSB10,AHSP
3.6017084,17.921188,Reticulocyte,HBD,MALAT1,HBB,TPT1,HBA1,HBA2,HBM,TMSB10
11.748266,2.7497673,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,SAT1,NEAT1,RGS2,FCN1
13.363295,1.3495846,CD14+ Mono,CTSS,S100A9,NEAT1,LYZ,TNFAIP3,CST3,PSAP,TYROBP
-11.790751,-5.875488,CD4+ T naive,IGKC,JUN,HBB,MALAT1,TRBC2,TRAC,TPT1,ARL4C
3.2900143,17.405724,Reticulocyte,HBD,MALAT1,HBB,HBM,HBA2,HBA1,AHSP,TMSB10
-2.8632274,16.66359,Normoblast,HBD,SLC25A37,HBM,HBB,AHSP,SLC4A1,TPT1,HBA1
2.902685,19.45538,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA1,HBA2,TMSB10,AHSP
-10.8269205,-3.792557,CD4+ T activated,TRAC,IRF1,HBA2,TRBC2,CD3G,JUN,TMSB10,BCL11B
13.4438505,1.2512517,CD14+ Mono,NEAT1,CTSS,S100A9,PSAP,SOD2,FOS,CD74,FOSB
7.617344,-11.4659,Naive CD20+ B IGKC-,IGHM,IGLC2,HLA-DRA,CD74,CD79A,HLA-DPB1,HLA-DRB1,MS4A1
-13.82231,-2.082614,CD4+ T naive,JUNB,JUN,HBA1,MALAT1,SAT1,PRKCQ-AS1,HIST1H4C,DUSP2
6.4256897,-15.3037815,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,HLA-DRB1,IGHD,HLA-DPB1,CD37
-13.142163,-10.432089,CD8+ T naive,CD8B,CD8,CD69,KLRK1,ARL4C,FOS,CD8A,FOSB
4.839528,18.843815,Reticulocyte,MALAT1,HBD,TPT1,HBB,HBA1,HBA2,TMSB10,AHSP
4.963173,17.532057,Reticulocyte,MALAT1,HBB,HBA2,HBD,HBA1,HBM,TMSB10,TPT1
2.0067894,18.336672,Reticulocyte,HBD,MALAT1,HBB,TPT1,AHSP,SLC25A37,TMSB10,HBA1
-8.717287,-1.459135,CD4+ T activated,CRIP1,KLRB1,IL7R,TRBC2,ITGB1,CD2,TRAC,S100A11
-1.9986272,11.647903,Erythroblast,HBM,HBD,AHSP,HBB,CA1,HBA1,HBA2,TMSB10
-13.274025,-2.1657825,CD4+ T naive,SAT1,MALAT1,BCL11B,CD69,GPR183,NEAT1,ARL4C,PRKCQ-AS1
-12.7948265,-10.980829,CD8+ T naive,CD8B,CD8,LINC02446,JUN,FOSB,CD69,NEAT1,CD7
-1.6842891,11.147968,Erythroblast,HBM,HBD,CA1,HBB,AHSP,HBA1,HBA2,HEMGN
11.940245,1.7522188,CD14+ Mono,LYZ,NEAT1,IRF1,S100A8,CST3,S100A9,VCAN,MALAT1
12.750347,2.4805026,CD14+ Mono,S100A9,CTSS,S100A8,LYZ,FCN1,NEAT1,CST3,TYROBP
-8.943266,-2.582193,CD4+ T activated,CRIP1,KLF6,ANXA1,ITGB1,FOS,HBB,JUN,ARL4C
-2.595439,14.586626,Normoblast,HBD,HBM,HBB,AHSP,HBA1,CA1,SLC25A37,TMSB10
-4.3185873,11.512315,Erythroblast,HBM,HBD,AHSP,HIST1H4C,HBB,CA1,TMSB10,HBA1
5.4443426,-16.355577,Naive CD20+ B IGKC+,IGKC,CD74,IGHM,HLA-DRA,CD79A,HLA-DRB1,IGHD,CD79B
-2.864198,17.714233,Normoblast,HBD,SLC25A37,HBM,HBB,TPT1,AHSP,TMSB10,ARL4A
-3.1006498,17.760172,Normoblast,HBD,SLC25A37,TPT1,AHSP,SLC4A1,HBB,HBA1,TMSB10
-12.306624,-4.4610586,CD4+ T naive,TRBC2,JUNB,TMSB10,TRAC,CD3G,HBB,TPT1,PCED1B-AS1
-11.842329,-8.628071,CD8+ T naive,CD8B,CD8,CD8A,JUNB,JUN,HBA1,BCL11B,HBB
-10.725655,-11.522101,CD8+ T naive,CD8B,LINC02446,CD8,CD8A,HBA1,FOS,TRBC1,HBB
-12.782621,-5.6346703,CD4+ T naive,BCL11B,JUN,AL499604.1,NEAT1,CD7,HBA2,IGKC,FOS
7.0712605,-15.954284,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,CD79A,HLA-DRB1,CD79B,HLA-DPB1
-4.2283883,11.96853,Erythroblast,HBM,HIST1H4C,HBD,HBB,AHSP,HBA2,HBA1,TMSB10
7.247573,-11.82812,Naive CD20+ B IGKC-,IGLC3,IGLC2,IGHM,CD74,HLA-DRA,HLA-DPB1,HLA-DRB1,FOS
-12.633937,-4.986504,CD4+ T activated,JUNB,TRBC1,MALAT1,BCL11B,NEAT1,FOSB,JUN,PRKCQ-AS1
13.637638,1.7854936,CD14+ Mono,NEAT1,CTSS,HLA-DRA,NAMPT,PSAP,SAT1,CD74,S100A9
6.065889,-16.815414,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,JUN,HLA-DRB1,CD79A,TCL1A
-12.263344,-3.827834,CD4+ T naive,AL499604.1,FOSB,FOS,JUN,MALAT1,IL7R,JUNB,CITED2
11.041939,3.5911164,CD14+ Mono,S100A9,LYZ,S100A8,LGALS1,CTSS,PSAP,FCN1,LST1
10.798859,3.7718217,CD14+ Mono,S100A8,S100A9,LYZ,IRF1,RETN,S100A12,MNDA,CRIP1
-14.714538,-4.7694807,CD4+ T naive,FOS,EGR1,MALAT1,DUSP2,JUN,CD69,DNAJB1,NEAT1
-13.628779,-3.3125684,CD4+ T naive,JUN,JUNB,PRKCQ-AS1,IL7R,TRBC1,MALAT1,IRF1,H1FX
10.435066,3.5341496,CD14+ Mono,S100A8,S100A9,LYZ,NEAT1,CITED2,RETN,MNDA,HIST1H4C
-14.2112,-4.51575,CD4+ T naive,JUNB,MALAT1,TRBC1,IL7R,AL499604.1,TPT1,FYB1,CRIP1
2.4045153,18.883013,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA2,HBA1,TMSB10,HBM
-11.404297,-5.4183655,CD4+ T activated,FOS,NEAT1,MALAT1,BCL11B,TRAC,HBA2,CD69,JUNB
7.5104685,-11.629606,Naive CD20+ B IGKC-,IGLC2,HLA-DRA,IGHM,CD74,HLA-DPB1,HLA-DRB1,MALAT1,IGHD
-14.591385,-4.4469843,CD4+ T naive,TRBC1,FOS,MALAT1,TNFAIP3,ARL4C,AL499604.1,NEAT1,HBA2
-8.414822,-1.5772545,CD4+ T activated,TRBC2,TRAC,CRIP1,IL7R,CD69,ITGB1,SAT1,BCL11B
-15.029879,-2.3292587,CD4+ T naive,FOS,ARL4C,JUN,IL7R,JUNB,BCL11B,PRKCQ-AS1,MALAT1
5.533063,-16.490894,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,HLA-DRB1,CD79B,HLA-DPB1,CD79A
11.954203,2.425642,CD14+ Mono,S100A9,S100A8,CTSS,LYZ,AIF1,SAT1,VCAN,NAMPT
4.491647,18.768661,Reticulocyte,HBD,MALAT1,HBM,TPT1,HBB,HBA2,HBA1,TMSB10
11.261824,3.190177,CD14+ Mono,S100A9,LYZ,S100A8,NEAT1,CTSS,LGALS1,FOSB,FCN1
3.3881826,18.965656,Reticulocyte,HBD,TPT1,MALAT1,HBB,HBM,HBA2,HBA1,AHSP
14.034815,5.253243,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,JUN,VCAN,MNDA,S100A12
-9.5211525,-1.5973306,CD4+ T activated,CRIP1,TRBC2,ITGB1,GPR183,JUNB,MAF,FYB1,IL7R
7.463991,-12.117069,Naive CD20+ B IGKC-,HLA-DRA,IGHM,CD74,HLA-DRB1,IGLC2,CD79B,CD79A,HLA-DPB1
-14.203203,-4.221322,CD4+ T naive,MALAT1,TRBC1,FOSB,AHNAK,PRKCQ-AS1,TNFAIP3,KLRB1,ARL4C
14.846975,4.977466,CD14+ Mono,S100A9,LYZ,S100A8,CTSS,CST3,FCN1,AIF1,TYROBP
15.062265,4.2815437,CD14+ Mono,LYZ,CTSS,PSAP,S100A9,FCN1,CST3,HLA-DRA,FGL2
-4.4712753,11.415869,Erythroblast,HBM,HBD,HIST1H4C,HBB,AHSP,HBA1,HBA2,TMSB10
-5.012138,11.279997,Erythroblast,HBM,HIST1H4C,HBD,AHSP,HBB,PRDX2,CA1,HBA2
13.290671,2.1398926,CD14+ Mono,CTSS,S100A9,NEAT1,S100A8,AIF1,PSAP,TYROBP,FCN1
-11.411807,-10.653338,CD8+ T naive,CD8B,CD8,HBA2,CD8A,FOSB,ARL4C,KLRK1,FOS
13.079674,2.2616792,CD14+ Mono,CTSS,S100A9,NEAT1,JUN,LYZ,ZFP36,KLF6,S100A8
6.963988,-16.254625,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,HLA-DRB1,HLA-DPB1,CD79A,IGHD
-12.978165,-2.1417449,CD4+ T activated,TRAC,MALAT1,TRBC2,HBD,CD69,HBA2,BCL11B,GPR183
-2.9830728,17.596037,Normoblast,HBD,SLC25A37,AHSP,TPT1,HBB,TMSB10,HBA1,HBM
12.830973,3.9962287,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,FCN1,VCAN,S100A12,PSAP
-9.5233,-1.9883769,CD8+ T naive,CRIP1,JUN,CD69,TRAC,HBA2,MALAT1,HBB,BCL11B
-14.222534,-4.421943,CD4+ T naive,MALAT1,BCL11B,TNFAIP3,FOSB,JUN,AL499604.1,CD7,KLF6
12.300352,2.6447368,CD14+ Mono,S100A9,S100A8,CTSS,LYZ,VCAN,TYROBP,FOS,FCN1
-12.612551,-4.5039053,CD4+ T naive,KLF6,AL499604.1,HIST1H4C,BCL11B,MALAT1,CD27,NOSIP,JUN
5.9976597,-16.054739,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DRB1,CD79A,HLA-DPB1,JUN
-14.950964,-2.4394388,CD4+ T naive,JUN,FOS,IL7R,CD69,KLF6,MALAT1,IRF1,CD74
7.424716,-11.473053,Naive CD20+ B IGKC-,IGHM,IGLC2,IGLC3,HLA-DRA,CD74,CD79A,TCL1A,CD79B
11.127665,3.8503892,CD14+ Mono,S100A9,S100A8,LYZ,AC020656.1,MNDA,FCN1,LGALS1,RETN
-11.80768,-10.609256,CD8+ T naive,CD8B,CD8,CD8A,LINC02446,FOSB,KLRK1,HBB,JUN
-14.075987,-2.4108362,CD4+ T naive,FOS,PRKCQ-AS1,MALAT1,TRBC1,HIST1H1D,ARL4C,BCL11B,NEAT1
13.252703,4.490923,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,VCAN,FCN1,MNDA,TYROBP
13.639698,2.8006437,CD14+ Mono,S100A9,CTSS,LYZ,PSAP,S100A8,FOS,FGL2,FCN1
6.2666364,-16.121975,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,HLA-DRB1,IGHD,HLA-DPB1,CD79A
8.039436,-15.318436,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD74,CD79A,TCL1A,FOS,HLA-DRB1
-13.8801,-1.5852504,CD4+ T naive,PCED1B-AS1,PRKCQ-AS1,CD69,IL7R,ARL4C,NOSIP,FOS,DUSP2
-3.7809145,12.170831,Erythroblast,HBM,HBD,AHSP,HBB,HIST1H4C,CA1,TMSB10,HBA1
0.22706191,17.492609,Reticulocyte,HBD,MALAT1,HBM,HBB,AHSP,HBA1,TPT1,TMSB10
-0.8891851,-1.7111104,NK,MALAT1,TPT1,ZFP36,TMSB10,HBD,IRF1,FOS,HBB
-11.322346,-7.476163,CD8+ T naive,CD8,CD8B,SAT1,CD8A,KLRK1,MALAT1,FOS,JUNB
6.789962,-12.510947,Naive CD20+ B IGKC-,IGLC3,IGHM,HLA-DRA,CD74,IGLC2,HLA-DPB1,HLA-DRB1,IGHD
3.073274,17.435429,Reticulocyte,HBD,MALAT1,HBB,HBM,HBA2,HBA1,AHSP,TPT1
4.3648305,18.972828,Reticulocyte,HBD,MALAT1,HBB,TPT1,HBA2,HBA1,HBM,TMSB10
9.06789,-11.268171,Naive CD20+ B IGKC-,IGHM,IGLC2,CD79B,HLA-DRA,IGLC3,IGLC1,VPREB3,CD74
-11.407755,-4.604853,CD4+ T activated,FOS,TRAC,TRBC2,SAT1,CD7,HBB,HBD,JUNB
5.580607,-16.44693,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,IGHD,HLA-DRB1,JUN,CD79B
-5.4338017,11.868742,Erythroblast,HBD,HBM,HIST1H4C,CA1,AHSP,HBB,PRDX2,TMSB10
4.6772637,18.982265,Reticulocyte,HBD,MALAT1,HBB,HBA1,HBA2,TPT1,TMSB10,HBM
12.658724,1.6556234,CD14+ Mono,NEAT1,LYZ,CTSS,RHOB,NAMPT,S100A9,IRF1,LST1
11.469862,4.218365,CD14+ Mono,LYZ,S100A9,S100A8,KLF6,TNFAIP3,LGALS1,AC020656.1,SOD2
7.41257,-11.966668,Naive CD20+ B IGKC-,IGLC3,IGLC2,IGHM,HLA-DRA,CD74,CD79B,CD79A,HLA-DPB1
-10.980438,-1.0772254,CD4+ T activated,TRBC2,FOS,IL7R,JUN,KLF6,BCL11B,AL499604.1,IRF1
12.759838,4.5431714,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,CTSS,FOS,VCAN,NEAT1
13.117044,2.7780302,CD14+ Mono,CTSS,S100A9,LYZ,PSAP,AIF1,S100A8,JUN,EGR1
-2.5878992,14.911032,Normoblast,HBD,HBB,HBM,SLC25A37,AHSP,CA1,HBA1,SLC4A1
13.415751,1.58186,CD14+ Mono,NEAT1,SAT1,CTSS,S100A9,PSAP,FOSB,JUN,LYZ
12.057023,5.356004,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,FOS,CST3,VCAN,S100A12
11.397951,2.2705612,CD14+ Mono,S100A9,S100A8,CTSS,LYZ,IRF1,LST1,TNFAIP3,SAT1
-14.542156,-2.8868108,CD4+ T naive,MALAT1,IL7R,ID2,FOS,AL499604.1,GPR183,JUNB,TNFAIP3
6.0837584,-16.390148,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,HLA-DRB1,HLA-DPB1,CD79B
-11.266537,-5.3042545,CD4+ T naive,TRBC1,JUN,TPT1,HBA2,TRAC,MALAT1,HBD,HBB
-13.771608,-5.026828,CD4+ T naive,TRBC1,FOS,MALAT1,CD69,KLF6,TSHZ2,GIMAP7,HBA1
-10.174697,-11.535772,CD8+ T naive,CD8B,CD8,LINC02446,HBA2,TPT1,ARL4C,HBA1,HBB
-11.776848,-2.774066,CD4+ T naive,TRBC1,PCED1B-AS1,PRKCQ-AS1,HBA2,BCL2,TPT1,MALAT1,NOSIP
-11.462957,-3.637261,CD4+ T naive,MALAT1,AL499604.1,BCL11B,JUN,ARL4C,TRBC1,FOS,HBA2
0.49090862,-0.34396297,NK,GNLY,NEAT1,NKG7,JUN,KLRB1,GZMB,CCL5,MALAT1
-10.567875,-2.2976952,CD4+ T activated,TRBC2,IL7R,GIMAP7,PCED1B-AS1,NEAT1,IGKC,ITGB1,HBA2
-5.530268,11.771209,Erythroblast,HBM,HIST1H4C,HBD,AHSP,CA1,HBB,PRDX2,HBA2
13.846715,2.2633796,CD14+ Mono,CTSS,NEAT1,S100A9,LYZ,JUN,PSAP,VCAN,TNFAIP3
-1.6081411,17.734196,Normoblast,HBD,SLC25A37,HBB,TPT1,AHSP,HBM,BLVRB,TMSB10
12.151009,5.4475536,CD14+ Mono,S100A8,S100A9,LYZ,AC020656.1,FCN1,LGALS1,TRBC2,FOS
6.434609,-16.408485,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,CD79A,HLA-DRB1,CD37,TCL1A
12.935777,1.6225173,CD14+ Mono,CTSS,S100A9,LYZ,TNFAIP3,RGS2,RHOB,CST3,FCN1
5.4743814,-16.328758,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,IGHD,HLA-DRB1,TCL1A,CD79B
2.1112814,18.083954,Reticulocyte,HBD,MALAT1,HBB,HBA1,HBA2,AHSP,TPT1,TMSB10
13.483006,1.2214043,CD14+ Mono,NEAT1,FOSB,CTSS,NAMPT,FOS,ZFP36,IRF1,PSAP
11.149107,3.6950698,CD14+ Mono,S100A8,S100A9,LYZ,LST1,AC020656.1,CST3,S100A12,FOS
-13.820831,-4.861367,CD4+ T naive,TRBC1,FOS,HIST1H4C,BCL11B,JUN,TPT1,HBA2,HBB
-9.25301,-1.154084,CD4+ T activated,CRIP1,IL7R,ANXA1,TRBC2,CD2,BCL11B,NEAT1,ITGB1
13.54212,1.6277605,CD14+ Mono,CTSS,S100A9,NEAT1,JUN,FOSB,TYROBP,LYZ,PSAP
13.474854,5.7210546,CD14+ Mono,S100A8,S100A9,LYZ,FCN1,CTSS,S100A12,AIF1,VCAN
-7.7521715,-1.5927186,CD4+ T activated,CRIP1,TRBC2,ANXA1,DUSP2,IL7R,ID2,CITED2,FOSB
2.3527644,18.51297,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBM,TMSB10,HBA1,HBA2
7.6532245,-15.86904,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DRB1,CD79A,HLA-DPB1,TCL1A
2.743506,18.539925,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA1,HBM,HBA2,TMSB10
-13.370558,-3.248499,CD4+ T naive,IRF1,TRBC1,HBA2,CD27,BCL11B,JUN,TPT1,IL7R
12.260085,3.111127,CD14+ Mono,S100A9,S100A8,LYZ,CTSS,FCN1,LST1,FOSB,AIF1
-13.348271,-11.183559,CD8+ T naive,CD8,CD8A,LINC02446,DUSP2,ID2,CD69,AIF1,CD7
-8.779345,-3.063153,CD4+ T activated,CRIP1,CCL5,S100A11,ANXA1,TRAC,CD2,GZMA,ITGB1
5.819411,-16.402554,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DPB1,CD79A,CD79B,HLA-DRB1
7.04607,-12.269848,Naive CD20+ B IGKC-,IGHM,HLA-DRA,CD74,HLA-DRB1,HLA-DPB1,CD79B,HLA-DPA1,TCL1A
10.783371,4.644854,CD14+ Mono,LYZ,S100A9,S100A8,AC020656.1,LGALS1,RETN,SAT1,RNASE2
5.784069,-16.829327,Naive CD20+ B IGKC+,IGKC,HLA-DRA,IGHM,CD79A,CD74,HLA-DPB1,HLA-DRB1,IGHD
3.0171297,18.697086,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA1,HBA2,HBM,AHSP
11.842965,1.1949108,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FOSB,NAMPT,CTSS,AC020916.1
3.034636,19.25849,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA1,HBA2,AHSP,TMSB10
3.6608257,19.798199,Reticulocyte,HBD,MALAT1,TPT1,HBB,HBA2,HBA1,TMSB10,AHSP
2.233505,17.992903,Reticulocyte,HBD,MALAT1,HBB,AHSP,HBA2,HBA1,TPT1,HBM
10.13612,-12.532286,Naive CD20+ B IGKC+,IGKC,IGHM,TCL1A,HLA-DRA,CD79B,CD74,CD79A,HLA-DRB1
-11.442805,-11.339658,CD8+ T naive,CD8,HBA2,DUSP2,CD8A,HBA1,JUN,TPT1,MALAT1
0.2728564,-0.37647954,NK,GNLY,MALAT1,NEAT1,CCL4,JUNB,TYROBP,CD74,NKG7
-12.858938,-6.305667,CD8+ T naive,HBA1,HBA2,CD69,DUSP2,TRBC2,ARL4C,HBB,JUN
-14.271933,-5.64224,CD4+ T activated,TRBC1,FOS,MALAT1,IGLC2,JUNB,TRAC,JUN,CITED2
6.1805873,-16.984665,Naive CD20+ B IGKC+,IGKC,HLA-DRA,CD74,IGHM,IGHD,HLA-DRB1,HLA-DPB1,CD79A
